Academic Year	Aggregate Level	County Code	District Code	School Code	County Name	District Name	School Name	Charter School	DASS	Reporting Category	Cumulative Enrollment	Homeless Student Enrollment	Temporarily Doubled Up	Temporary Shelters	Hotels/Motels	Temporarily Unsheltered	Missing/Unknown	Temporarily Doubled Up (percent)	Temporary Shelters (percent)	Hotels/Motels (percent)	Temporarily Unsheltered (percent)	Missing/Unknown (percent)
2024-25	T	00						All	All	GF	2893921	145505	122228	9763	8007	5506	1	84.0	6.7	5.5	3.8	0.0
2024-25	T	00						All	No 	GF	2827482	138231	116957	8802	7591	4880	1	84.6	6.4	5.5	3.5	0.0
2024-25	T	00						All	Yes	GF	107399	11793	8802	1347	766	878	0	74.6	11.4	6.5	7.4	0.0
2024-25	T	00						No 	All	GF	2525275	132123	112148	8223	7152	4599	1	84.9	6.2	5.4	3.5	0.0
2024-25	T	00						No 	No 	GF	2496583	128683	109348	7947	6971	4416	1	85.0	6.2	5.4	3.4	0.0
2024-25	T	00						No 	Yes	GF	46647	6089	4854	523	388	324	0	79.7	8.6	6.4	5.3	0.0
2024-25	T	00						Yes	All	GF	420480	18575	13958	2087	1336	1194	0	75.1	11.2	7.2	6.4	0.0
2024-25	T	00						Yes	No 	GF	360846	12714	9894	1238	957	625	0	77.8	9.7	7.5	4.9	0.0
2024-25	T	00						Yes	Yes	GF	62858	6101	4234	877	407	583	0	69.4	14.4	6.7	9.6	0.0
2024-25	T	00						All	All	GM	3066019	152427	127561	10162	8560	6144	0	83.7	6.7	5.6	4.0	0.0
2024-25	T	00						All	No 	GM	2983788	144672	121882	9162	8146	5482	0	84.2	6.3	5.6	3.8	0.0
2024-25	T	00						All	Yes	GM	133225	13282	9979	1486	853	964	0	75.1	11.2	6.4	7.3	0.0
2024-25	T	00						No 	All	GM	2698237	140150	118408	8747	7754	5241	0	84.5	6.2	5.5	3.7	0.0
2024-25	T	00						No 	No 	GM	2654300	135690	114810	8368	7535	4977	0	84.6	6.2	5.6	3.7	0.0
2024-25	T	00						No 	Yes	GM	73393	8279	6529	728	549	473	0	78.9	8.8	6.6	5.7	0.0
2024-25	T	00						Yes	All	GM	417907	17150	12840	1929	1214	1167	0	74.9	11.2	7.1	6.8	0.0
2024-25	T	00						Yes	No 	GM	357738	11826	9148	1133	886	659	0	77.4	9.6	7.5	5.6	0.0
2024-25	T	00						Yes	Yes	GM	63230	5541	3854	821	342	524	0	69.6	14.8	6.2	9.5	0.0
2024-25	T	00						All	All	GR01	394426	21404	18248	1353	1144	659	0	85.3	6.3	5.3	3.1	0.0
2024-25	T	00						All	No 	GR01	393076	21330	18199	1340	1136	655	0	85.3	6.3	5.3	3.1	0.0
2024-25	T	00						All	Yes	GR01	1800	133	87	22	16	8	0	65.4	16.5	12.0	6.0	0.0
2024-25	T	00						No 	All	GR01	349187	20153	17227	1263	1052	611	0	85.5	6.3	5.2	3.0	0.0
2024-25	T	00						No 	No 	GR01	348099	20085	17185	1250	1044	606	0	85.6	6.2	5.2	3.0	0.0
2024-25	T	00						No 	Yes	GR01	1402	111	68	22	14	7	0	61.3	19.8	12.6	6.3	0.0
2024-25	T	00						Yes	All	GR01	48959	1723	1347	169	140	67	0	78.2	9.8	8.1	3.9	0.0
2024-25	T	00						Yes	No 	GR01	48583	1702	1329	169	138	66	0	78.1	9.9	8.1	3.9	0.0
2024-25	T	00						Yes	Yes	GR01	402	23	20	0	2	1	0	87.0	0.0	8.7	4.3	0.0
2024-25	T	00						All	All	GR02	411558	22002	18676	1358	1253	715	0	84.9	6.2	5.7	3.2	0.0
2024-25	T	00						All	No 	GR02	410130	21931	18629	1348	1249	705	0	84.9	6.1	5.7	3.2	0.0
2024-25	T	00						All	Yes	GR02	1841	130	86	19	13	12	0	66.2	14.6	10.0	9.2	0.0
2024-25	T	00						No 	All	GR02	365380	20749	17671	1269	1163	646	0	85.2	6.1	5.6	3.1	0.0
2024-25	T	00						No 	No 	GR02	364249	20688	17630	1261	1160	637	0	85.2	6.1	5.6	3.1	0.0
2024-25	T	00						No 	Yes	GR02	1406	97	63	14	9	11	0	64.9	14.4	9.3	11.3	0.0
2024-25	T	00						Yes	All	GR02	49826	1716	1344	143	138	91	0	78.3	8.3	8.0	5.3	0.0
2024-25	T	00						Yes	No 	GR02	49426	1688	1324	139	135	90	0	78.4	8.2	8.0	5.3	0.0
2024-25	T	00						Yes	Yes	GR02	435	33	23	5	4	1	0	69.7	15.2	12.1	3.0	0.0
2024-25	T	00						All	All	GR03	428005	22235	18949	1325	1240	721	0	85.2	6.0	5.6	3.2	0.0
2024-25	T	00						All	No 	GR03	426662	22170	18905	1316	1234	715	0	85.3	5.9	5.6	3.2	0.0
2024-25	T	00						All	Yes	GR03	1754	111	76	13	11	11	0	68.5	11.7	9.9	9.9	0.0
2024-25	T	00						No 	All	GR03	381191	21062	17992	1233	1166	671	0	85.4	5.9	5.5	3.2	0.0
2024-25	T	00						No 	No 	GR03	380140	21013	17958	1224	1164	667	0	85.5	5.8	5.5	3.2	0.0
2024-25	T	00						No 	Yes	GR03	1331	85	59	13	6	7	0	69.4	15.3	7.1	8.2	0.0
2024-25	T	00						Yes	All	GR03	50414	1635	1288	143	129	75	0	78.8	8.7	7.9	4.6	0.0
2024-25	T	00						Yes	No 	GR03	50018	1611	1272	143	125	71	0	79.0	8.9	7.8	4.4	0.0
2024-25	T	00						Yes	Yes	GR03	423	26	17	0	5	4	0	65.4	0.0	19.2	15.4	0.0
2024-25	T	00						All	All	GR04	429397	22011	18637	1299	1298	777	0	84.7	5.9	5.9	3.5	0.0
2024-25	T	00						All	No 	GR04	428110	21942	18596	1288	1288	770	0	84.8	5.9	5.9	3.5	0.0
2024-25	T	00						All	Yes	GR04	1706	118	71	18	20	9	0	60.2	15.3	16.9	7.6	0.0
